 , C0, C1, C2, C3, C4, C5, C6
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0
0.099962, 0.03968996, 0.005588632, 0.01268707, 0.003343636, 0.006568183, 0.03242746, 0.006642533
0.199924, 0.0452833, 0.005237799, 0.01192822, 0.003190534, 0.006234189, 0.03079438, 0.00619807
0.299886, 0.04335262, 0.004908991, 0.01121476, 0.003044442, 0.00591718, 0.02924355, 0.005783347
0.399848, 0.04150426, 0.004600823, 0.01054398, 0.002905039, 0.00561629, 0.02777081, 0.005396374
0.49981, 0.03973471, 0.004312001, 0.009913312, 0.00277202, 0.005330701, 0.02637225, 0.005035293
0.599772, 0.03832152, 0.00404131, 0.009320369, 0.002645091, 0.005059634, 0.04105925, 0.004698373
0.699734, 0.03668766, 0.003787613, 0.008762893, 0.002523975, 0.004802351, 0.03899147, 0.004383998
0.799696, 0.03753826, 0.003549841, 0.008238761, 0.002408404, 0.004558151, 0.03702782, 0.004090657
0.899658, 0.03593779, 0.003326996, 0.007745978, 0.002298125, 0.004326368, 0.03516306, 0.003816945
0.99962, 0.03522455, 0.003118139, 0.00728267, 0.003663739, 0.006607031, 0.03964199, 0.01888973
1.099582, 0.03482351, 0.002922395, 0.006847074, 0.00349598, 0.0112306, 0.04098076, 0.01762579
1.199544, 0.03391957, 0.002738938, 0.006437532, 0.003335902, 0.01065953, 0.03891693, 0.01644642
1.299506, 0.03247339, 0.002566998, 0.006052486, 0.003183153, 0.01011749, 0.03695704, 0.01534596
1.399468, 0.04468824, 0.002405852, 0.005690469, 0.008340484, 0.02568101, 0.03808847, 0.01940766
1.49943, 0.04278293, 0.002254821, 0.005350107, 0.01067387, 0.02437513, 0.0361703, 0.01810906
1.599392, 0.04450147, 0.002113272, 0.005030103, 0.01018512, 0.02313565, 0.03939135, 0.01689735
1.699354, 0.05355288, 0.001980609, 0.004729239, 0.01548315, 0.0219592, 0.0397048, 0.01576672
1.799316, 0.05767217, 0.001856274, 0.004446371, 0.02344783, 0.02084257, 0.03770523, 0.01471174
1.899278, 0.07654636, 0.001739745, 0.004180421, 0.03752626, 0.01978272, 0.03580635, 0.01372736
1.99924, 0.07328277, 0.00163053, 0.003930379, 0.03580796, 0.01877677, 0.03400311, 0.01280884
2.099202, 0.09200925, 0.001528172, 0.003695292, 0.05083491, 0.03216555, 0.03295116, 0.01195178
2.199164, 0.1075524, 0.001432239, 0.003474266, 0.06079899, 0.04399867, 0.03129171, 0.01115206
2.299126, 0.1248589, 0.001342328, 0.003266461, 0.065598, 0.05513484, 0.03214424, 0.01040586
