 , C0, C1, C2, C3, C4, C5, C6
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0.2181227, 0.00271602, 0.003635518, -0.01958548, 0.01876383, 0.1053389, -0.01076465
0.058789, 0.2191254, 0.0009768858, 0.003487856, -0.02220085, 0.02450386, 0.1006105, -0.008753476
0.117578, 0.220039, 0.003090254, -0.0002438219, -0.02162345, 0.02264492, 0.1022187, -0.01042291
0.176367, 0.2153261, -0.0006996616, 0.006239752, -0.02273141, 0.02459974, 0.0908149, -0.008392688
0.235156, 0.2135743, 0.001020361, 0.001471509, -0.02282187, 0.01679246, 0.09634603, -0.01363924
0.293945, 0.2081951, 0.0009817344, 0.002233976, -0.01972731, 0.01626347, 0.09393089, -0.01404092
0.352734, 0.2068051, 0.003513873, 0.003904508, -0.02675345, 0.01783181, 0.08633769, -0.01628114
0.411523, 0.1941307, 0.001092239, -0.002725726, -0.02107091, 0.01174332, 0.08899567, -0.01575111
0.470312, 0.1921006, 0.000994353, 0.002338999, -0.02303874, 0.01324974, 0.08435301, -0.01011623
0.529101, 0.1886395, 0.001584893, -0.0005932689, -0.01613145, 0.01681273, 0.0796776, -0.01539417
0.58789, 0.2020154, 0.002394694, 0.0004958102, -0.02150396, 0.01406758, 0.08419961, -0.00971697
0.646679, 0.1895131, 0.002048086, 0.0004894475, -0.02084635, 0.0229762, 0.09061731, -0.00766298
0.705468, 0.1910573, 0.00378399, 0.0008765348, -0.02189386, 0.01369387, 0.09230896, -0.01067721
0.764257, 0.1840809, 0.003607892, 0.004995111, -0.02151897, 0.01280684, 0.08876489, -0.0107385
0.8230460000000001, 0.1868949, 0.002864404, -0.0004223188, -0.02284273, 0.01472245, 0.08565553, -0.008544378
0.881835, 0.1950366, 0.004478376, 0.004883255, -0.02191412, 0.01916769, 0.08755702, -0.01372282
0.940624, 0.1883244, 0.002271633, 0.00254518, -0.02104025, 0.01401023, 0.07979008, -0.008400056
0.999413, 0.1938123, 0.003221164, 0.005163414, -0.02081433, 0.01381776, 0.07447571, -0.008857961
1.058202, 0.1787993, 0.003257986, 0.002336737, -0.02191456, 0.01623578, 0.08646357, -0.01287895
1.116991, 0.1833701, 0.003759757, -0.001736931, -0.02210004, 0.01174629, 0.07859179, -0.01269616
1.17578, 0.1851998, 0.003542376, 0.002616548, -0.01753985, 0.01408855, 0.07517171, -0.004655953
1.234569, 0.1821606, 0.006015277, -0.002713917, -0.02027817, 0.01765484, 0.06713343, -0.005576303
1.293358, 0.1841142, 0.004698854, 0.002225438, -0.02180623, 0.01673261, 0.06915079, -0.003896056
1.352147, 0.1807376, 0.002862972, 0.004078814, -0.01436531, 0.01605186, 0.06291655, -0.007025962
1.410936, 0.1782099, 0.004335905, -0.001147004, -0.01799462, 0.02413106, 0.0659636, -0.01210426
1.469725, 0.1783506, 0.004044454, 0.001501728, -0.01983828, 0.01921012, 0.05593584, -0.005008124
1.528514, 0.1718984, -0.0002248442, 0.00094499, -0.02164135, 0.02106367, 0.06076724, -0.003797533
1.587303, 0.1718776, 0.004287663, 0.004667821, -0.02010462, 0.01902356, 0.05551346, -0.005293044
1.646092, 0.1798212, 0.0004404603, 0.002833462, -0.01945642, 0.02160293, 0.0549763, -0.004406173
1.704881, 0.1734869, 0.003984126, 0.0003512499, -0.02222898, 0.01624175, 0.0534324, -0.01083051
1.76367, 0.1781413, 0.001764243, -0.0009786272, -0.0176885, 0.01972053, 0.05078575, -0.003867444
1.822459, 0.1719539, 0.001101779, 0.002651107, -0.0192214, 0.02575002, 0.05298902, -0.0078967
1.881248, 0.1728057, 0.00313102, 0.0009127966, -0.01675171, 0.02496805, 0.04880989, -0.005383875
1.940037, 0.1705315, -0.001196213, 0.003908763, -0.01668224, 0.02630882, 0.04593468, -0.00797962
1.998826, 0.1692079, 0.002353826, 0.005991106, -0.0173184, 0.02801332, 0.03634533, -0.004954466
2.057615, 0.1637968, -0.0007277529, 0.00802762, -0.01631449, 0.01454641, 0.03552991, -0.003351055
