Time(s),Lick,ArtSal,Chocolate,Quinine,NaCl,Sucrose,Peanut,Acid
0,0,0,0,0,0,0,0,0
4.0694,1,1,0,0,0,0,0,0
4.079,0,0,0,0,0,0,0,0
34.602,1,0,0,0,0,0,0,0
34.612,0,0,0,0,0,0,0,0
61.2916,1,0,0,0,0,0,0,0
61.302,0,0,0,0,0,0,0,0
61.4046,1,0,0,0,0,0,0,0
61.415,0,0,0,0,0,0,0,0
61.5356,1,1,0,0,0,0,0,0
61.546,0,0,0,0,0,0,0,0
61.8366,1,0,0,0,0,0,0,0
61.847,0,0,0,0,0,0,0,0
61.9856,1,0,0,0,0,0,0,0
61.996,0,0,0,0,0,0,0,0
62.1416,1,0,0,0,0,0,0,0
62.152,0,0,0,0,0,0,0,0
62.3016,1,1,0,0,0,0,0,0
62.312,0,0,0,0,0,0,0,0
62.4446,1,0,0,0,0,0,0,0
62.455,0,0,0,0,0,0,0,0
62.5796,1,0,0,0,0,0,0,0
62.59,0,0,0,0,0,0,0,0
62.7596,1,0,0,0,0,0,0,0
62.77,0,0,0,0,0,0,0,0
62.9276,1,0,0,0,0,0,0,0
62.938,0,0,0,0,0,0,0,0
63.0426,1,0,0,0,0,0,0,0
63.053,0,0,0,0,0,0,0,0
63.1786,1,1,0,0,0,0,0,0
63.189,0,0,0,0,0,0,0,0
63.3636,1,0,0,0,0,0,0,0
63.374,0,0,0,0,0,0,0,0
63.5296,1,0,0,0,0,0,0,0
63.54,0,0,0,0,0,0,0,0
63.6986,1,0,0,0,0,0,0,0
63.709,0,0,0,0,0,0,0,0
63.8536,1,0,0,0,0,0,0,0
63.864,0,0,0,0,0,0,0,0
64.0216,1,1,0,0,0,0,0,0
64.032,0,0,0,0,0,0,0,0
64.1936,1,0,0,0,0,0,0,0
64.204,0,0,0,0,0,0,0,0
64.3906,1,0,0,0,0,0,0,0
64.401,0,0,0,0,0,0,0,0
64.5076,1,0,0,0,0,0,0,0
64.518,0,0,0,0,0,0,0,0
64.7156,1,0,0,0,0,0,0,0
64.726,0,0,0,0,0,0,0,0
64.8356,1,0,0,0,0,0,0,0
64.846,0,0,0,0,0,0,0,0
65.0136,1,1,0,0,0,0,0,0
65.024,0,0,0,0,0,0,0,0
66.3836,1,0,0,0,0,0,0,0
66.394,0,0,0,0,0,0,0,0
66.5176,1,0,0,0,0,0,0,0
66.528,0,0,0,0,0,0,0,0
66.6786,1,0,0,0,0,0,0,0
66.689,0,0,0,0,0,0,0,0
66.8376,1,0,0,0,0,0,0,0
66.848,0,0,0,0,0,0,0,0
66.9626,1,1,0,0,0,0,0,0
66.973,0,0,0,0,0,0,0,0
67.1526,1,0,0,0,0,0,0,0
67.163,0,0,0,0,0,0,0,0
67.3616,1,0,0,0,0,0,0,0
67.372,0,0,0,0,0,0,0,0
67.5106,1,0,0,0,0,0,0,0
67.521,0,0,0,0,0,0,0,0
67.6496,1,1,0,0,0,0,0,0
67.66,0,0,0,0,0,0,0,0
67.8136,1,0,0,0,0,0,0,0
67.824,0,0,0,0,0,0,0,0
67.9986,1,0,0,0,0,0,0,0
68.009,0,0,0,0,0,0,0,0
68.1566,1,0,0,0,0,0,0,0
68.167,0,0,0,0,0,0,0,0
68.3006,1,0,0,0,0,0,0,0
68.311,0,0,0,0,0,0,0,0
68.4576,1,1,0,0,0,0,0,0
68.468,0,0,0,0,0,0,0,0
68.6386,1,0,0,0,0,0,0,0
68.649,0,0,0,0,0,0,0,0
68.8326,1,0,0,0,0,0,0,0
68.843,0,0,0,0,0,0,0,0
68.9596,1,0,0,0,0,0,0,0
68.97,0,0,0,0,0,0,0,0
69.1276,1,0,0,0,0,0,0,0
69.138,0,0,0,0,0,0,0,0
69.2806,1,1,0,0,0,0,0,0
69.291,0,0,0,0,0,0,0,0
69.4616,1,0,0,0,0,0,0,0
69.472,0,0,0,0,0,0,0,0
69.6396,1,0,0,0,0,0,0,0
69.65,0,0,0,0,0,0,0,0
69.8126,1,0,0,0,0,0,0,0
69.823,0,0,0,0,0,0,0,0
69.9676,1,0,0,0,0,0,0,0
69.978,0,0,0,0,0,0,0,0
70.1216,1,1,0,0,0,0,0,0
70.132,0,0,0,0,0,0,0,0
70.3158,1,0,0,0,0,0,0,0
70.326,0,0,0,0,0,0,0,0
70.5348,1,0,0,0,0,0,0,0
70.545,0,0,0,0,0,0,0,0
70.6698,1,0,0,0,0,0,0,0
70.68,0,0,0,0,0,0,0,0
70.8266,1,0,0,0,0,0,0,0
70.837,0,0,0,0,0,0,0,0
70.9908,1,0,0,0,1,0,0,0
71.001,0,0,0,0,0,0,0,0
71.1616,1,0,0,0,1,0,0,0
71.172,0,0,0,0,0,0,0,0
71.3106,1,0,0,0,1,0,0,0
71.321,0,0,0,0,0,0,0,0
71.4726,1,0,0,0,1,0,0,0
71.483,0,0,0,0,0,0,0,0
71.6206,1,0,0,0,1,0,0,0
71.631,0,0,0,0,0,0,0,0
71.7788,1,0,0,0,1,0,0,0
71.789,0,0,0,0,0,0,0,0
71.9328,1,0,0,0,1,0,0,0
71.943,0,0,0,0,0,0,0,0
72.0968,1,0,0,0,1,0,0,0
72.107,0,0,0,0,0,0,0,0
72.2978,1,0,0,0,1,0,0,0
72.308,0,0,0,0,0,0,0,0
72.4198,1,0,0,0,1,0,0,0
72.43,0,0,0,0,0,0,0,0
