 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.099962, 0, 0, 4.438229, 0, 0, 0.410495, 0, 0.1960003, 0, 1.554546, 2.2698, 0, 0
0.199924, 0, 0, 5.708756, 0, 3.042412, 0.3902377, 0, 0.1865406, 0, 1.479609, 3.7932, 0, 0
0.299886, 0, 0, 5.814181, 1.966784, 2.894363, 0.3709801, 0, 0.1775374, -2.384186e-07, 1.992818, 3.568372, 0, 0
0.399848, 5.440838, 0, 5.524683, 3.284066, 4.421758, 0.3526728, 0, 0.1689689, 0, 1.896754, 3.356869, 0, 0
0.49981, 6.387089, 0, 6.04058, 3.106429, 8.217514, 0.3352689, -1.192093e-07, 0.1608143, 0, 1.895991, 3.157903, 0.7610483, 2.384186e-07
0.599772, 6.113869, 0, 5.739809, 2.9384, 7.817636, 2.067524, 0, 1.725422, -2.384186e-07, 1.804595, 2.970729, 0.7202263, 2.384186e-07
0.699734, 7.596104, 0, 6.709567, 2.779461, 7.437217, 1.965495, 0, 3.521977, -2.384186e-07, 1.717604, 2.79465, 0.6815939, 1.192093e-07
0.799696, 9.984272, 0, 6.375485, 3.279215, 9.903297, 1.868501, -1.192093e-07, 3.351996, -3.576279e-07, 1.634806, 3.714586, 0.9539849, 2.384186e-07
0.899658, 11.51963, 0, 6.058039, 3.607865, 9.421385, 1.776293, -1.192093e-07, 3.190219, -2.384186e-07, 3.61503, 3.652783, 2.641126, 1.192093e-07
0.99962, 11.02685, 0, 5.756399, 3.412714, 8.962923, 1.688636, -1.192093e-07, 4.259793, -3.576279e-07, 3.440767, 3.742383, 2.499458, 1.192093e-07
1.099582, 17.21568, 0, 5.469778, 4.522606, 8.526772, 2.5521, 3.348943, 4.054204, 1.762422, 3.274904, 3.520567, 2.365389, 0.9559765
1.199544, 18.21087, 0, 5.366998, 4.277976, 8.111844, 2.684761, 4.672771, 4.519012, 1.669647, 3.58084, 5.470869, 2.238512, 1.772681
1.299506, 20.67925, 2.535875, 5.099765, 4.046577, 7.717107, 2.552272, 4.771583, 4.300912, 8.597737, 3.408225, 5.146603, 2.11844, 7.743401
1.399468, 30.97415, 2.421651, 4.84584, 5.131474, 10.75494, 2.426322, 5.705471, 4.093337, 8.145148, 3.243931, 4.841556, 2.004808, 9.0406
1.49943, 31.84123, 3.748552, 4.604556, 5.419454, 10.23158, 2.719539, 5.459138, 3.895781, 7.716383, 5.90481, 4.55459, 4.44065, 8.597901
1.599392, 30.47915, 3.579705, 4.425833, 5.914569, 9.733696, 2.585334, 5.223441, 3.707759, 7.31019, 5.620168, 4.284633, 4.202457, 8.176881
1.699354, 29.76609, 3.924894, 4.205463, 5.594647, 9.260037, 2.457751, 4.99792, 3.528812, 6.925379, 5.349247, 4.030676, 4.259554, 7.776477
1.799316, 28.49278, 3.748103, 3.996066, 5.29203, 8.809427, 2.336465, 4.782135, 3.358502, 6.560823, 5.091385, 3.791772, 4.652108, 7.395681
1.899278, 27.27394, 4.100257, 3.797095, 5.005781, 8.380746, 2.221164, 4.575667, 3.196411, 6.215459, 4.889619, 3.567029, 4.402573, 7.033531
1.99924, 26.10723, 3.915567, 3.608031, 4.735016, 7.972924, 2.111553, 4.378114, 3.042143, 5.888275, 4.653914, 3.355606, 4.166422, 6.689115
2.099202, 31.67793, 3.936359, 4.275402, 5.670053, 7.584948, 2.007351, 4.189089, 2.89532, 5.578313, 4.429571, 3.156714, 4.26719, 6.361564
2.199164, 43.18731, 3.759052, 4.062522, 6.004459, 7.21585, 1.908291, 4.008226, 2.755584, 5.284668, 4.216043, 2.969611, 4.046025, 6.050052
2.299126, 43.69715, 3.589731, 3.860242, 5.679675, 6.864714, 1.81412, 3.835172, 2.622591, 5.006482, 4.696339, 2.793598, 3.885659, 5.753795
2.399088, 46.10946, 3.428038, 8.349456, 5.372458, 6.530665, 1.724596, 3.669589, 2.496018, 4.742938, 4.469951, 2.628017, 3.677235, 5.472044
2.49905, 46.4264, 3.273627, 7.933722, 5.616965, 6.212872, 1.63949, 3.511155, 2.375553, 4.493268, 4.254476, 2.47225, 4.521366, 5.204091
2.599012, 45.59975, 3.126172, 7.538688, 5.905671, 5.910542, 1.558584, 3.359561, 2.260902, 4.256741, 4.049387, 2.325716, 4.278844, 4.949258
2.698974, 50.46798, 2.985358, 7.163323, 7.301569, 5.622925, 1.48167, 3.214513, 2.151784, 4.032663, 3.854186, 2.187868, 4.04933, 4.706903
2.798936, 48.30909, 2.850888, 6.806649, 6.906623, 5.349304, 1.408552, 3.075727, 2.047933, 3.820382, 3.668394, 2.05819, 3.832128, 4.476417
2.898898, 47.3241, 2.722474, 6.467734, 6.533039, 5.088997, 1.339042, 2.942933, 1.949094, 3.619276, 4.388454, 1.936198, 3.626575, 4.257217
2.99886, 45.29971, 2.599845, 6.145694, 6.179664, 4.841357, 1.272962, 2.815872, 1.855025, 3.428755, 4.176908, 1.821437, 3.432049, 4.04875
3.098822, 43.3619, 2.482739, 5.839689, 5.845402, 4.605768, 1.210143, 2.694297, 1.972512, 3.248264, 5.148201, 1.713477, 5.218719, 3.850492
3.198784, 47.92541, 2.370908, 5.548921, 5.529221, 4.381643, 1.150425, 2.577971, 1.877312, 3.077274, 6.972636, 1.611917, 4.938792, 3.661942
3.298746, 49.94217, 2.264114, 6.520071, 5.230143, 4.168425, 1.093653, 2.466667, 1.786708, 2.915285, 7.752728, 1.516376, 4.673879, 3.482625
3.398708, 51.43156, 2.162131, 7.053804, 4.947241, 3.965582, 1.039683, 2.360169, 1.700476, 2.761823, 7.379005, 1.426498, 4.423176, 3.312089
3.49867, 49.23145, 2.064741, 6.702583, 4.679643, 6.644094, 0.9883761, 2.258269, 1.618406, 2.61644, 8.480463, 1.341948, 4.185921, 3.149903
3.598632, 47.12546, 1.971738, 7.009698, 4.426518, 7.388311, 0.9396012, 2.160769, 1.540297, 2.478709, 8.071661, 1.262408, 3.961391, 2.995659
3.698594, 45.10956, 1.882924, 6.660673, 4.187085, 7.462097, 0.8932334, 2.067478, 1.465958, 2.348229, 7.767127, 1.187584, 3.748905, 2.848969
3.798556, 43.17989, 1.798111, 6.329026, 3.960603, 9.798955, 0.8491536, 1.978215, 1.395206, 2.224617, 7.392711, 5.145943, 3.859616, 2.709461
3.898518, 41.33277, 1.717118, 6.013893, 5.799977, 10.89495, 0.8072492, 1.892806, 1.648147, 2.107512, 7.036344, 4.840935, 3.652589, 2.576785
3.99848, 39.56466, 1.639773, 5.714451, 5.486253, 10.36478, 0.7674127, 1.811084, 1.568602, 1.996572, 6.697155, 4.554006, 3.456667, 2.450605
4.098442, 40.19292, 1.565912, 5.429918, 6.738351, 9.860411, 1.104829, 1.732891, 1.492897, 1.891472, 7.778159, 4.284083, 3.271255, 2.330604
4.198404, 38.47357, 1.495378, 5.159553, 6.37387, 9.380587, 1.3358, 1.658073, 1.420846, 1.791904, 7.403212, 4.030159, 4.635863, 2.21648
4.298366, 36.82777, 1.428021, 4.90265, 6.548896, 8.92411, 2.539495, 1.586486, 1.352272, 1.697577, 7.046338, 3.791286, 4.565127, 2.107944
4.398328, 35.25238, 1.363698, 4.658539, 8.298153, 8.489848, 2.414174, 1.51799, 2.107436, 1.608216, 6.706668, 3.566571, 4.320258, 2.004722
4.49829, 38.08975, 1.302272, 4.426582, 7.849301, 8.076716, 2.295038, 1.452451, 2.005725, 1.523559, 6.383372, 3.355175, 4.088522, 1.906555
4.598252, 46.04576, 1.243614, 4.206175, 7.424727, 7.683689, 2.181782, 1.389742, 1.908923, 1.443358, 10.68629, 3.156309, 3.869217, 1.813195
4.698214, 47.48446, 2.890184, 3.996742, 7.02312, 7.309787, 2.074114, 1.32974, 1.816792, 1.367379, 10.17116, 2.96923, 3.661676, 1.724407
4.798176, 49.05644, 2.76, 6.097727, 6.643235, 6.95408, 1.97176, 3.073217, 1.729109, 1.295399, 9.680854, 2.793239, 3.465266, 1.639967
4.898138, 50.76253, 2.635681, 5.794111, 7.902991, 6.615682, 1.874457, 2.940531, 1.645657, 4.952838, 9.214187, 2.62768, 3.891581, 1.559661
