 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, -0.003808595, -0.02048329, -0.01703314, 0.005489575, -0.0156614, -0.002419149, -0.006374259, -0.0005847919, 0.03822106, -0.01392101, -0.01490035, -0.01298383
0.099962, -0.009559546, -0.02088838, -0.01731307, 0.003865796, -0.0195194, -0.008411244, -0.01251954, 0.0009352978, 0.04239444, -0.01231441, -0.0173281, -0.01478485
0.199924, -0.007173195, -0.02011187, -0.02210069, 0.003122509, -0.01909411, -0.002858596, -0.005460967, -0.0003315105, 0.04333853, -0.01103913, -0.01708081, -0.0138298
0.299886, 0.002256253, -0.02595465, -0.01420921, 0.004369248, -0.01265768, -0.002223333, -0.009258784, -0.001828597, 0.04635656, -0.009986508, -0.01602788, -0.01118707
0.399848, -0.002958829, -0.02419303, -0.01377428, 0.007565067, -0.01898332, -0.006658007, -0.005608426, -0.001966975, 0.05007517, -0.01062102, -0.01466288, -0.01265392
0.49981, -0.003974343, -0.02066968, -0.01263596, 0.008381072, -0.01490051, -0.007689018, -0.006757443, -0.003820135, 0.04696291, -0.01332994, -0.01503324, -0.01199168
0.599772, -0.00634326, -0.02039064, -0.01034155, 0.01094349, -0.01136776, -0.007890888, -0.007936388, -0.006515194, 0.05250047, -0.0127051, -0.01214597, -0.01232043
0.699734, -0.004131162, -0.01512857, -0.009011183, 0.009599801, -0.01363715, -0.004388958, -0.008522324, -0.006802238, 0.0507593, -0.01313585, -0.01246393, -0.01155527
0.799696, -0.0008271403, -0.02280854, -0.01094158, 0.009527131, -0.01632148, -0.01089884, -0.009026697, -0.008647704, 0.04713803, -0.01026749, -0.0125298, -0.01082595
0.899658, -0.002049357, -0.01892544, -0.01177722, 0.008081241, -0.01207454, -0.006836199, -0.00650009, -0.001549912, 0.05114492, -0.01131683, -0.01445455, -0.01528616
0.99962, -0.004108157, -0.02046201, -0.013195, 0.005626301, -0.0129201, -0.00818992, -0.006686558, -0.008402489, 0.0464327, -0.01295919, -0.0133431, -0.01017439
1.099582, -0.000442319, -0.02267623, -0.0133712, 0.008470393, -0.01491126, -0.01009443, -0.01125334, -0.01109406, 0.04727431, -0.01474242, -0.01714662, -0.01292186
1.199544, -0.005338156, -0.02682788, -0.01484272, 0.001196681, -0.0204697, -0.006627844, -0.007384283, -0.00154966, 0.04923186, -0.01348229, -0.01544331, -0.01203766
1.299506, -0.001955937, -0.02573939, -0.02031939, 0.0005251514, -0.02225597, -0.009992946, -0.00670982, -0.004523056, 0.0533089, -0.01159859, -0.01629455, -0.01816936
1.399468, -0.002266672, -0.02353312, -0.01744565, 0.004506918, -0.02352894, -0.01179527, -0.009338027, -0.002932901, 0.05267782, -0.009772403, -0.01445146, -0.01773833
1.49943, -0.008034157, -0.02406751, -0.01946748, 0.005567161, -0.01806393, -0.008354084, -0.009411218, -0.00381685, 0.04901558, -0.01058422, -0.01784219, -0.01773729
1.599392, -0.004797738, -0.02488073, -0.01791747, 0.003055751, -0.01623087, -0.005452919, -0.009676392, -0.006554299, 0.04772827, -0.01360454, -0.01422807, -0.0159412
1.699354, -0.00601355, -0.02526001, -0.01543991, 0.005843155, -0.01839126, -0.006205648, -0.01041696, -0.004367822, 0.04836723, -0.01044128, -0.01617933, -0.0149051
1.799316, -0.006566872, -0.02322492, -0.01390707, 0.00735534, -0.01316412, -0.003351601, -0.008162105, -0.007354631, 0.03985861, -0.01187201, -0.01523915, -0.01249361
1.899278, -0.004819842, -0.02674615, -0.014197, 0.007991292, -0.01806821, -0.001692675, -0.01069625, -0.004695412, 0.04008592, -0.01335182, -0.0160388, -0.0129574
1.99924, -0.0005838987, -0.02482057, -0.01502678, 0.007943638, -0.01555716, -0.0004038012, -0.01176959, -0.003275637, 0.03686245, -0.01088228, -0.01693974, -0.01105101
2.099202, -0.007335547, -0.02476181, -0.01011843, 0.006651838, -0.01151051, -0.001974976, -0.006610543, -0.003804327, 0.03811511, -0.01451524, -0.01672804, -0.01215954
2.199164, -0.0002501188, -0.02356945, -0.01185529, 0.009333956, -0.01410669, 0.00530951, -0.007230908, -0.005954755, 0.03501082, -0.009358103, -0.01298342, -0.01081273
2.299126, -0.004504238, -0.01900981, -0.009398874, 0.009159291, -0.01453774, 0.008594744, -0.005369594, -0.005075816, 0.03653757, -0.005005926, -0.01346426, -0.01285034
2.399088, -0.001203371, -0.01313059, -0.007976342, 0.01050003, -0.0166739, 0.01133628, -0.003125277, -0.006051247, 0.03169619, -0.005819538, -0.01291954, -0.0103187
2.49905, -0.003358405, -0.01159814, -0.009469705, 0.01030214, -0.009478988, 0.01808508, 0.0007453773, -0.0034414, 0.0303678, -0.001680019, -0.01337359, -0.007107255
2.599012, -0.007429871, -0.004119847, -0.008728256, 0.01197155, -0.01166617, 0.01642152, -0.002867713, -0.00176122, 0.02961562, 0.0009849366, -0.01404842, -0.007152766
2.698974, -0.003842208, -0.001339794, -0.006852144, 0.01291676, -0.009102655, 0.01446771, 0.002160936, -0.00372462, 0.02858994, 0.001481062, -0.01075492, -0.006890303
2.798936, -0.0001405131, -0.0004617627, -0.006881676, 0.01640457, -0.01052063, 0.0191632, 0.003330736, -0.002979239, 0.02801311, -0.0004926656, -0.009053508, -0.003396735
2.898898, 0.001550514, -0.004676529, -0.00711245, 0.01194264, -0.01244823, 0.01333286, 0.003402125, -0.008697025, 0.02708673, 0.005323031, -0.007592132, -0.004635462
2.99886, 0.003084726, -0.00335612, -0.008485032, 0.01267478, -0.01003893, 0.01508867, -0.00139347, -0.003568838, 0.02641304, 0.004566182, -0.009426957, -0.003596135
3.098822, 0.001248114, -0.003588781, -0.002105809, 0.01645022, -0.01030672, 0.01658063, 0.00371712, -0.002218572, 0.02232128, 0.0005477627, -0.01069668, -0.00111727
3.198784, 0.00576667, -0.001395793, -0.007862491, 0.01326093, -0.007837465, 0.0185817, 0.001687362, -0.001846399, 0.02340637, -0.00248461, -0.009949572, -0.00558009
3.298746, -0.0007012264, -0.002880628, -0.005708743, 0.01667449, -0.007988747, 0.02001956, 0.00095541, -0.004735872, 0.02075081, 0.0007775471, -0.005366057, -0.004941153
3.398708, -0.001054189, -0.008691269, -0.004473283, 0.01570556, -0.01159755, 0.01821939, 7.944813e-05, -0.003486175, 0.02209009, -0.001605877, -0.009364035, -0.002301564
3.49867, 0.001011177, -0.007850605, -0.006915621, 0.01632018, -0.01146844, 0.01074746, -0.001243023, -0.004738551, 0.02395208, 0.002093004, -0.009402284, -0.007340134
3.598632, -0.001377695, -0.004606599, -0.005097437, 0.01854565, -0.008930106, 0.01509483, 0.005610622, -0.0007522353, 0.03039858, -0.0008544596, -0.0121433, -0.006003819
3.698594, -0.0009720734, -0.01290944, -0.00511512, 0.01742929, -0.005324675, 0.01775059, 0.001194265, -0.005496176, 0.03146332, -0.001514809, -0.01138195, -0.002293659
3.798556, -0.003590225, -0.01243006, -0.009954408, 0.01526939, -0.009014245, 0.0120568, 0.000997911, -0.000903701, 0.03425548, -0.002933513, -0.01314917, -0.005566206
3.898518, 0.004285905, -0.01138979, -0.01389175, 0.0170328, -0.01798254, 0.01113549, 0.001526245, -0.002750216, 0.03299601, -0.005784282, -0.008283515, -0.005465115
3.99848, -0.00219679, -0.009389976, -0.008493502, 0.01571961, -0.0147119, 0.01392883, -0.001329944, -0.002970241, 0.03311747, -0.008790853, -0.00896633, -0.006955125
4.098442, -0.001565767, -0.01180111, -0.01232481, 0.01304819, -0.01950452, 0.008005807, -0.0003785982, -0.004661371, 0.03334977, -0.006307235, -0.01074549, -0.006264187
4.198404, -0.005950788, -0.008551736, -0.009073883, 0.009516894, -0.01134026, 0.01081707, -0.004555908, -0.004816721, 0.03912164, -0.006441813, -0.006872609, -0.008182201
4.298366, 0.0001644184, -0.008081761, -0.007273111, 0.01518254, -0.01763852, 0.01033503, -0.00533218, -0.00290368, 0.03864529, -0.007103009, -0.01018244, -0.005653463
4.398328, 0.004151006, -0.01093384, -0.00593977, 0.01294318, -0.01460759, 0.00683597, -0.002440155, -0.0017983, 0.03632368, -0.002317544, -0.0115022, -0.005045987
4.49829, 0.006075718, -0.01144953, -0.005167278, 0.01535906, -0.01496762, 0.01154652, -0.005462214, -0.005256425, 0.03175665, -0.001016935, -0.01006685, -0.005813005
4.598252, 0.003462423, -0.00771005, -0.005292296, 0.017584, -0.01377268, 0.01337257, -0.005721741, -0.0058426, 0.03762944, -0.009361278, -0.0088672, -0.002565179
4.698214, 0.0006902436, -0.005576919, 0.00558209, 0.01985615, -0.01210988, 0.008039985, -0.004763495, -0.01037701, 0.03290352, -0.0119791, -0.001441838, -0.005061551
4.798176, 0.004539559, -0.01265265, -0.0008989261, 0.01616273, -0.009972328, 0.005988905, -0.0009528339, -0.0076393, 0.0422248, -0.01040824, -0.008980402, -0.003146774
4.898138, 0.0008523642, -0.01719856, -0.007420653, 0.01433741, -0.01063576, 0.009850476, -0.003978895, -0.0105847, 0.04581394, -0.01010639, -0.007741685, -0.008802142
4.9981, -0.0008207581, -0.02136583, -0.0178556, 0.002019173, -0.01809801, 0.003905564, 0.0009757959, -0.004613064, 0.05078955, -0.01212148, -0.01491661, -0.01479755
5.098062, -0.001064775, -0.01942488, -0.02106802, 0.001152538, -0.01892168, -0.002444696, -0.003035919, -0.00785282, 0.04418237, -0.01014307, -0.01859289, -0.01869073
5.198024, -0.008562829, -0.02558856, -0.02390002, -0.008953447, -0.02258964, -0.01202125, -0.00639995, -0.006040661, 0.04660824, -0.008727219, -0.02429894, -0.02545533
5.297986, -0.004421819, -0.02745335, -0.02341381, -0.01135468, -0.02523052, -0.02273269, -0.002725156, -0.008471923, 0.04947125, -0.005864271, -0.02485919, -0.02518116
5.397948, -0.0026578, -0.02359526, -0.02156162, -0.006174342, -0.02357117, -0.0111594, -0.004830217, -0.008858179, 0.05197518, -0.01048314, -0.01677077, -0.02064749
5.49791, -0.003287464, -0.02580619, -0.02328479, -0.003949742, -0.02359911, -0.01681958, -0.005235319, -0.008225078, 0.0506276, -0.01104357, -0.02061128, -0.02369035
5.597872, -0.002114895, -0.02556845, -0.02525404, -0.003829599, -0.02290788, -0.009802198, -0.00691602, -0.009243805, 0.04978275, -0.009372158, -0.01936485, -0.02099381
5.697834, -0.007937761, -0.02386464, -0.02139161, 0.001764634, -0.02145336, -0.007104765, -0.00582807, -0.008903736, 0.04772945, -0.01298884, -0.02088732, -0.01610096
5.797796, -0.006103201, -0.01851327, -0.019315, 0.004772514, -0.01928032, -0.00432456, -0.00624061, -0.007418735, 0.05031351, -0.01019893, -0.01502135, -0.01517036
5.897758, -0.003736718, -0.02309681, -0.01586214, 0.003634376, -0.02161679, -0.006564102, -0.007800098, -0.007804867, 0.04709952, -0.005624418, -0.01584627, -0.01315046
5.99772, -0.002365859, -0.01091236, -0.008320483, 0.008987322, -0.02063277, -0.005926171, -0.008150565, -0.006085199, 0.04361833, -0.01113565, -0.01097429, -0.01081617
6.097682, -0.002353054, -0.02516025, -0.01294363, 0.008423664, -0.01711042, -0.008212103, -0.008695818, -0.005409813, 0.04234958, -0.01307938, -0.01550672, -0.01225437
6.197644, -0.002955826, -0.02635764, -0.02061273, -0.006526761, -0.02596664, -0.01656904, -0.00392364, -0.008136238, 0.04347552, -0.0122961, -0.01942345, -0.02399625
6.297606, -0.00818344, -0.02841157, -0.01999633, -0.007758787, -0.02447117, -0.02160021, -0.004424924, -0.01154521, 0.04117102, -0.01283594, -0.0202505, -0.02415076
6.397568, -0.008567836, -0.02904505, -0.02168498, -0.007562687, -0.02026026, -0.02165288, -0.00858433, -0.008991994, 0.03982852, -0.01253905, -0.0215176, -0.02258909
6.49753, -0.004955131, -0.02902239, -0.01879085, -0.008353319, -0.02338483, -0.02182796, -0.004922213, -0.007761455, 0.03878317, -0.01096371, -0.01873465, -0.02164381
6.597492, -0.006554189, -0.02600562, -0.02252669, -0.003902873, -0.02316762, -0.01769399, -0.008971167, -0.009621939, 0.04116451, -0.01059998, -0.01384553, -0.01930284
6.697454, -0.004420219, -0.02635032, -0.01795592, 0.003956369, -0.0233382, -0.01752472, -0.009848822, -0.01070473, 0.04476395, -0.01052289, -0.01365639, -0.01701138
6.797416, -0.0006602153, -0.02731049, -0.02012434, -0.0005398709, -0.01853837, -0.01850594, -0.00772833, -0.008857982, 0.04229753, -0.006661402, -0.01730754, -0.01861718
6.897378, -0.004277413, -0.02579401, -0.01702947, 0.008728191, -0.007687382, -0.003660098, -0.008933905, -0.00789331, 0.04447861, -0.01061004, -0.01479612, -0.01399286
6.99734, -0.003932812, -0.02512982, -0.01420412, 0.01143948, -0.01264621, -0.003325036, -0.009472948, -0.005043315, 0.04346835, -0.006524745, -0.008864047, -0.01219409
7.097302, -0.001496725, -0.02150996, -0.01039311, 0.01173964, -0.008320554, -0.005307589, -0.01331136, -0.008701108, 0.03677603, -0.0132242, -0.002707829, -0.01510829
7.197264, -0.001374119, -0.02003286, -0.008920353, 0.01306152, -0.004559747, -0.01120142, -0.008633173, -0.006297007, 0.03345108, -0.01343787, -0.009572397, -0.01117009
7.297226, -0.0007270679, -0.02315805, -0.01005114, 0.008847631, -0.01221005, -0.007487672, -0.009576687, -0.00697724, 0.0366398, -0.01239503, -0.01217957, -0.009232357
7.397188, -0.004648397, -0.0234263, -0.01542726, 0.007284338, -0.01373973, -0.00925805, -0.01064433, -0.003976567, 0.03598765, -0.01643521, -0.01721589, -0.01338192
7.49715, -0.004422793, -0.02502344, -0.01267084, 0.01069384, -0.01033633, -0.005271931, -0.01263915, -0.007854527, 0.03086689, -0.01561521, -0.009625768, -0.01214847
7.597112, -0.0031809, -0.02641883, -0.01824303, 0.007376534, -0.01201954, -0.007488757, -0.007414302, -0.01336834, 0.03065847, -0.01139897, -0.01284305, -0.01418277
7.697074, -0.000753011, -0.02884496, -0.01950006, -0.002370365, -0.02029925, -0.01508417, -0.009711906, -0.008149847, 0.02830979, -0.01017474, -0.01946215, -0.02246507
7.797036, -0.005874721, -0.02727233, -0.02249463, -0.004336026, -0.02037033, -0.01709273, -0.009216775, -0.006630407, 0.02939795, -0.01207943, -0.01547175, -0.02483316
7.896998, -0.007482132, -0.02654338, -0.02069187, -0.004832087, -0.02247662, -0.01725348, -0.00705492, -0.01074974, 0.02537267, -0.01147987, -0.02063635, -0.01955645
7.99696, -0.006248564, -0.01736642, -0.01940573, -0.004273963, -0.02130571, -0.01055412, -0.007677389, -0.006381147, 0.02533236, -0.01369883, -0.01602792, -0.01884258
8.096921999999999, 0.002459253, -0.01756493, -0.01744036, -0.0006003224, -0.01947059, -0.00603095, -0.00758446, -0.004693421, 0.02134692, -0.007764213, -0.016007, -0.01643663
8.196884000000001, -0.00464939, -0.005940826, -0.0175642, 0.003614182, -0.01443897, 0.00825442, -0.004514455, -0.005202895, 0.01930053, -0.01167195, -0.01458441, -0.01467184
8.296846, -0.003272577, 0.002876047, -0.01124388, 0.01267279, -0.0143708, 0.01625481, -0.007935261, -0.002132009, 0.01787868, -0.005151028, -0.008880496, -0.008454623
8.396808, -0.001815182, -0.004581467, -0.01378763, 0.00259472, -0.01827186, 0.008801509, -0.003202706, -0.006496919, 0.01959691, -0.009660457, -0.01836694, -0.01620289
8.49677, -0.008782426, -0.008888494, -0.0152335, -0.01441695, -0.02396013, -0.01090727, -0.007774895, -0.01672455, 0.01827669, -0.006562819, -0.01628717, -0.02121478
8.596731999999999, -0.003132949, 0.0004377346, -0.009146868, 0.006578489, -0.01342708, 0.01116483, -0.005566834, -0.01900836, 0.02198507, -0.008906247, -0.007574251, -0.01095755
8.696694000000001, -0.0063644, 0.00382728, -0.003321597, 0.008853927, -0.008855178, 0.01273885, -0.01019518, -0.02021026, 0.01869707, -0.006423531, -0.004922601, -0.01197534
8.796656, -0.009273083, 0.006313512, -0.005259342, 0.008344956, -0.01327589, 0.01461594, -0.008569887, -0.01778682, 0.01696541, -0.01016429, -0.003679111, -0.009455115
8.896618, -0.007435534, -0.0006072382, -0.003668943, 0.008551004, -0.01006977, 0.008985545, -0.01038375, -0.02160579, 0.01435371, -0.007923818, -0.008118911, -0.01062527
8.99658, -0.005360619, 0.002800311, 0.001935997, 0.008052241, -0.01279531, 0.009310312, -0.01327605, -0.0193689, 0.00932866, -0.005215664, -0.00604133, -0.008758502
9.096541999999999, -0.0032883, -0.0006693037, 0.003603504, 0.01257783, -0.01081835, 0.004719116, -0.01204789, -0.02190284, 0.005028402, -0.008080647, -0.00598442, -0.009149589
9.196503999999999, -0.004677955, 0.001587809, 0.002821143, 0.01498754, -0.01204346, 0.01104896, -0.01139987, -0.02241555, 0.007614831, -0.005364378, -0.003373823, -0.008755475
9.296466000000001, -0.007182688, -0.001008814, 0.001083105, 0.01670429, -0.007113975, 0.008372811, -0.008916097, -0.01925362, 0.007567722, -0.00957714, -0.004095822, -0.01159268
