Time(s),Lick,Rinse,ArtSal,Quinine,NaCl,Sucrose,MSG,Citric
0.0,0,0,0,0,0,0,0,0
15.1,1,1,0,0,0,0,0,0
15.11,0,0,0,0,0,0,0,0
27.3642,1,0,0,0,0,0,0,0
27.374,0,0,0,0,0,0,0,0
27.4692,1,0,0,0,0,0,0,0
27.479,0,0,0,0,0,0,0,0
27.6022,1,0,0,0,0,0,0,0
27.612,0,0,0,0,0,0,0,0
27.7262,1,1,0,0,0,0,0,0
27.736,0,0,0,0,0,0,0,0
27.8722,1,0,0,0,0,0,0,0
27.882,0,0,0,0,0,0,0,0
27.9782,1,0,0,0,0,0,0,0
27.988,0,0,0,0,0,0,0,0
28.1102,1,0,0,0,0,0,0,0
28.12,0,0,0,0,0,0,0,0
28.2442,1,0,0,0,0,0,0,0
28.254,0,0,0,0,0,0,0,0
28.3922,1,0,0,0,0,0,0,0
28.402,0,0,0,0,0,0,0,0
28.5412,1,1,0,0,0,0,0,0
28.551,0,0,0,0,0,0,0,0
28.6832,1,0,0,0,0,0,0,0
28.693,0,0,0,0,0,0,0,0
28.8352,1,0,0,0,0,0,0,0
28.845,0,0,0,0,0,0,0,0
28.9842,1,0,0,0,0,0,0,0
28.994,0,0,0,0,0,0,0,0
29.1322,1,0,0,0,0,0,0,0
29.142,0,0,0,0,0,0,0,0
29.2872,1,1,0,0,0,0,0,0
29.297,0,0,0,0,0,0,0,0
29.4342,1,0,0,0,0,0,0,0
29.444,0,0,0,0,0,0,0,0
29.5872,1,0,0,0,0,0,0,0
29.597,0,0,0,0,0,0,0,0
29.7412,1,0,0,0,0,0,0,0
29.751,0,0,0,0,0,0,0,0
29.9022,1,1,0,0,0,0,0,0
29.912,0,0,0,0,0,0,0,0
30.0592,1,0,0,0,0,0,0,0
30.069,0,0,0,0,0,0,0,0
30.2062,1,0,0,0,0,0,0,0
30.216,0,0,0,0,0,0,0,0
30.3702,1,0,0,0,0,0,0,0
30.38,0,0,0,0,0,0,0,0
30.5312,1,0,0,0,0,0,0,0
30.541,0,0,0,0,0,0,0,0
30.6932,1,0,0,0,0,0,0,0
30.703,0,0,0,0,0,0,0,0
30.8482,1,1,0,0,0,0,0,0
30.858,0,0,0,0,0,0,0,0
31.0302,1,0,0,0,0,0,0,0
31.04,0,0,0,0,0,0,0,0
31.1794,1,0,0,0,0,0,0,0
31.189,0,0,0,0,0,0,0,0
31.3384,1,0,0,0,0,0,0,0
31.348,0,0,0,0,0,0,0,0
31.5004,1,0,0,0,0,0,0,0
31.51,0,0,0,0,0,0,0,0
31.6714,1,1,0,0,0,0,0,0
31.681,0,0,0,0,0,0,0,0
31.7794,1,0,0,0,0,0,0,0
31.789,0,0,0,0,0,0,0,0
32.0044,1,0,0,0,0,0,0,0
32.014,0,0,0,0,0,0,0,0
32.1524,1,0,0,0,0,0,0,0
32.162,0,0,0,0,0,0,0,0
32.3144,1,0,0,0,0,0,0,0
32.324,0,0,0,0,0,0,0,0
32.4334,1,0,0,0,0,0,0,0
